Feature;Name;Toolbox;Category;Family;Parent;Description
F0001;Root-Mean-Square Energy (mean);MIR Toolbox 1.6.1;Dynamics;Root-Mean-Square Energy;Root-Mean-Square Energy;The root mean square energy calculates the global energy of the signal. It is computed by taking the root average of the square of the amplitude, also called root-mean-square (RMS). Roughly describes the loudness of a musical signal.
F0002;Root-Mean-Square Energy (std);MIR Toolbox 1.6.1;Dynamics;Root-Mean-Square Energy;Root-Mean-Square Energy;The root mean square energy calculates the global energy of the signal. It is computed by taking the root average of the square of the amplitude, also called root-mean-square (RMS). Roughly describes the loudness of a musical signal.
F0003;Root-Mean-Square Energy (skewness);MIR Toolbox 1.6.1;Dynamics;Root-Mean-Square Energy;Root-Mean-Square Energy;The root mean square energy calculates the global energy of the signal. It is computed by taking the root average of the square of the amplitude, also called root-mean-square (RMS). Roughly describes the loudness of a musical signal.
F0004;Root-Mean-Square Energy (kurtosis);MIR Toolbox 1.6.1;Dynamics;Root-Mean-Square Energy;Root-Mean-Square Energy;The root mean square energy calculates the global energy of the signal. It is computed by taking the root average of the square of the amplitude, also called root-mean-square (RMS). Roughly describes the loudness of a musical signal.
F0005;Root-Mean-Square Energy (max);MIR Toolbox 1.6.1;Dynamics;Root-Mean-Square Energy;Root-Mean-Square Energy;The root mean square energy calculates the global energy of the signal. It is computed by taking the root average of the square of the amplitude, also called root-mean-square (RMS). Roughly describes the loudness of a musical signal.
F0006;Root-Mean-Square Energy (min);MIR Toolbox 1.6.1;Dynamics;Root-Mean-Square Energy;Root-Mean-Square Energy;The root mean square energy calculates the global energy of the signal. It is computed by taking the root average of the square of the amplitude, also called root-mean-square (RMS). Roughly describes the loudness of a musical signal.
F0007;Low Energy Rate;MIR Toolbox 1.6.1;Dynamics;Low Energy Rate;Low Energy Rate;The low energy rate measures the percentage of frames showing less-than-average energy (Tzanetakis and Cook, 2002). The energy curve can be used to get an assessment of the temporal distribution of energy, in order to see if its remains constant throughout the signal, or if some frames are more contrastive than others.
F0008;Average Silence Ratio;MIR Toolbox 1.6.1;Expressive Techniques;Average Silence Ratio;Average Silence Ratio;The original source proposes this feature as na estimation for Articulation. The Average Silence Ratio (Feng, Zhuang, Pan, 2003), is available in MIR Toolbox under mirlowenergy function and corresponds to a RMS without the square-root, and a default threshold set to t = .5.
F0009;Fluctuation (mean);MIR Toolbox 1.6.1;Rhythm;Fluctuation;Fluctuation;Rhythmic Periodicity along Auditory Channels. This feature estimates the rhythm content based on spectrogram computation transformed by auditory modelling and then a spectrum estimation in each band (Pampalk et al., 2002).
F0010;Fluctuation (std);MIR Toolbox 1.6.1;Rhythm;Fluctuation;Fluctuation;Rhythmic Periodicity along Auditory Channels. This feature estimates the rhythm content based on spectrogram computation transformed by auditory modelling and then a spectrum estimation in each band (Pampalk et al., 2002).
F0011;Fluctuation (skewness);MIR Toolbox 1.6.1;Rhythm;Fluctuation;Fluctuation;Rhythmic Periodicity along Auditory Channels. This feature estimates the rhythm content based on spectrogram computation transformed by auditory modelling and then a spectrum estimation in each band (Pampalk et al., 2002).
F0012;Fluctuation (kurtosis);MIR Toolbox 1.6.1;Rhythm;Fluctuation;Fluctuation;Rhythmic Periodicity along Auditory Channels. This feature estimates the rhythm content based on spectrogram computation transformed by auditory modelling and then a spectrum estimation in each band (Pampalk et al., 2002).
F0013;Fluctuation (max);MIR Toolbox 1.6.1;Rhythm;Fluctuation;Fluctuation;Rhythmic Periodicity along Auditory Channels. This feature estimates the rhythm content based on spectrogram computation transformed by auditory modelling and then a spectrum estimation in each band (Pampalk et al., 2002).
F0014;Fluctuation (min);MIR Toolbox 1.6.1;Rhythm;Fluctuation;Fluctuation;Rhythmic Periodicity along Auditory Channels. This feature estimates the rhythm content based on spectrogram computation transformed by auditory modelling and then a spectrum estimation in each band (Pampalk et al., 2002).
