Song,Quadrant
MT0000004637,Q3
MT0000011357,Q2
MT0000011975,Q2
MT0000040632,Q1
MT0000044741,Q3
MT0000054705,Q4
MT0000082187,Q1
MT0000088320,Q3
MT0000092267,Q4
MT0000133200,Q2
MT0000202045,Q4
MT0000203193,Q4
MT0000203272,Q3
MT0000216849,Q2
MT0000218346,Q4
MT0000235880,Q4
MT0000249842,Q1
MT0000255724,Q3
MT0000299291,Q3
MT0000300896,Q3
MT0000315392,Q3
MT0000336135,Q4
MT0000348553,Q4
MT0000364027,Q1
MT0000369789,Q4
MT0000377411,Q2
MT0000379144,Q3
MT0000392975,Q1
MT0000414517,Q1
MT0000426771,Q3
MT0000441552,Q2
MT0000442827,Q1
MT0000446304,Q3
MT0000456939,Q2
MT0000460427,Q4
MT0000522789,Q4
MT0000523076,Q3
MT0000534539,Q3
MT0000540286,Q1
MT0000550961,Q4
MT0000636335,Q4
MT0000661250,Q3
MT0000661847,Q4
MT0000664362,Q1
MT0000698081,Q4
MT0000711493,Q4
MT0000729701,Q2
MT0000732821,Q2
MT0000742898,Q3
MT0000746822,Q4
MT0000762097,Q4
MT0000764951,Q3
MT0000796526,Q3
MT0000821772,Q4
MT0000888329,Q4
MT0000901959,Q4
MT0000922312,Q4
MT0000941301,Q3
MT0000949813,Q3
MT0000956340,Q2
MT0000971834,Q2
MT0000980148,Q4
MT0000992846,Q1
MT0001052263,Q3
MT0001053268,Q1
MT0001058887,Q4
MT0001109401,Q4
MT0001189913,Q1
MT0001193971,Q3
MT0001195535,Q4
MT0001217651,Q1
MT0001236649,Q1
MT0001284801,Q3
MT0001333258,Q2
MT0001335920,Q1
MT0001340713,Q1
MT0001376988,Q2
MT0001394087,Q4
MT0001418045,Q1
MT0001419145,Q2
MT0001438043,Q4
MT0001472536,Q3
MT0001494812,Q4
MT0001511433,Q4
MT0001515531,Q3
MT0001521543,Q1
MT0001523435,Q3
MT0001526386,Q3
MT0001533920,Q3
MT0001542676,Q3
MT0001583214,Q2
MT0001586807,Q1
MT0001594582,Q4
MT0001605268,Q1
MT0001613887,Q2
MT0001615005,Q2
MT0001624303,Q4
MT0001641228,Q4
MT0001661022,Q4
MT0001671399,Q1
MT0001673884,Q3
MT0001676671,Q4
MT0001680969,Q1
MT0001703346,Q1
MT0001753457,Q1
MT0001757676,Q1
MT0001766004,Q2
MT0001768550,Q4
MT0001810607,Q3
MT0001844620,Q3
MT0001870847,Q4
MT0001871732,Q3
MT0001877603,Q4
MT0001891229,Q2
MT0001898830,Q1
MT0001920501,Q3
MT0001927746,Q2
MT0001929641,Q3
MT0001934726,Q3
MT0001938929,Q2
MT0001942272,Q4
MT0001962373,Q2
MT0001967374,Q3
MT0001972380,Q3
MT0001975228,Q2
MT0001980613,Q4
MT0001982863,Q3
MT0001993588,Q2
MT0002006203,Q3
MT0002033629,Q1
MT0002050671,Q2
MT0002053300,Q1
MT0002057142,Q3
MT0002070112,Q3
MT0002086401,Q3
MT0002087541,Q3
MT0002119439,Q1
MT0002124238,Q4
MT0002126934,Q3
MT0002132088,Q4
MT0002142155,Q3
MT0002161109,Q1
MT0002222957,Q1
MT0002233402,Q3
MT0002262181,Q1
MT0002297016,Q1
MT0002351905,Q1
MT0002366291,Q1
MT0002372242,Q2
MT0002379222,Q3
MT0002385077,Q2
MT0002391847,Q1
MT0002399275,Q2
MT0002415184,Q2
MT0002448379,Q4
MT0002479795,Q2
MT0002485672,Q3
MT0002525905,Q1
MT0002532237,Q1
MT0002536460,Q3
MT0002538335,Q1
MT0002595792,Q1
MT0002602057,Q2
MT0002634024,Q3
MT0002674708,Q4
MT0002698706,Q1
MT0002698827,Q4
MT0002714805,Q4
MT0002760912,Q3
MT0002794078,Q1
MT0002811975,Q4
MT0002834532,Q4
MT0002846256,Q4
MT0002894033,Q1
MT0002915967,Q3
MT0002960683,Q2
MT0002986568,Q3
MT0003019852,Q2
MT0003022328,Q4
MT0003025046,Q4
MT0003037596,Q3
MT0003037754,Q3
MT0003044417,Q1
MT0003053135,Q3
MT0003101727,Q3
MT0003106472,Q2
MT0003114552,Q3
MT0003129858,Q3
MT0003136077,Q2
MT0003144898,Q1
MT0003170370,Q1
MT0003209662,Q2
MT0003213835,Q1
